,movie_image,movie_name,movie_year,certificate,movie_duration,genre,movie_status,rating,rating_metascore,movie_description,cast_detail,movie_votes_detail
30,"https://m.media-amazon.com/images/M/MV5BNDg0YmQ0NDMtNzdmYi00OTA5LWFjZDEtMWQ5NTQ0NjM4YTRlXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX67_CR0,0,67,98_AL_.jpg",Mafia Mamma,(2023),R,101 min,"Action, Comedy, Crime",,5.3,43 Metascore,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business.","Director: Catherine Hardwicke | Stars: Toni Collette, Monica Bellucci, Sophia Nomvete, Alessandro Bressanello","Votes: 3,477"
31,"https://m.media-amazon.com/images/M/MV5BMWU4NDQ2NjEtNjhkOS00Y2MwLWJkODItZmJhZGE0MDU1OWM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",The Suicide Squad,(2021),R,132 min,"Action, Adventure, Comedy",,7.2,72 Metascore,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Director: James Gunn | Stars: Margot Robbie, Idris Elba, John Cena, Joel Kinnaman","Votes: 371,380 | Gross: $55.82M"
32,"https://m.media-amazon.com/images/M/MV5BOTlmNGE0ZGMtMzdkMC00MjQyLWI1ZjgtZTIxODAyNWJlZDFlXkEyXkFqcGdeQXVyNTQ4ODM2NjM@._V1_UY98_CR0,0,67,98_AL_.jpg",The Last Kingdom: Seven Kings Must Die,(2023),TV-MA,111 min,"Action, Drama, History",,6.9,48 Metascore,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.","Director: Edward Bazalgette | Stars: Mark Rowley, Pekka Strang, Zoltan Andrasi, Ingrid García Jonsson","Votes: 24,674"
33,"https://m.media-amazon.com/images/M/MV5BNThiMjM4MWMtYjJlOS00NWU1LTljMzgtNGQwNGU1OTJhYjM5XkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",Dead Shot,(2023),,92 min,"Action, Thriller",,5.5,,"A retired Irish paramilitary witnesses the fatal shooting of his pregnant wife by an SAS officer. After outwitting the SAS, now wounded, and presumed dead, he escapes, taking his revenge to the dark and paranoid streets of 1970's London.","Directors: Charles Guard, Thomas Guard | Stars: Aml Ameen, Colin Morgan, Máiréad Tyers, Brian McCann",Votes: 869
34,"https://m.media-amazon.com/images/M/MV5BYzFhM2M1MDUtNDhmNC00YzEzLThiMzctYWYxZTc0MGJhNWYyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY98_CR5,0,67,98_AL_.jpg",65,(2023),PG-13,93 min,"Action, Adventure, Drama",,5.4,40 Metascore,An astronaut crash lands on a mysterious planet only to discover he's not alone.,"Directors: Scott Beck, Bryan Woods | Stars: Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King","Votes: 42,996"
35,"https://m.media-amazon.com/images/M/MV5BNGIzNjU5YTctMDllZi00MGU2LWI5MTYtYzc4ZGFjNzY5ZjYyXkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_UY98_CR89,0,67,98_AL_.jpg",The Expendables 4,(2023),,,"Action, Adventure, Thriller",Post-production,,,The Expendables will square up against: an arms dealer who commands the might of a massive private army.,"Director: Scott Waugh | Stars: Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren",
36,"https://m.media-amazon.com/images/M/MV5BN2U1Y2Q2MzgtNTljOS00MzNlLThkNDAtODY2N2YwN2JjZjIzXkEyXkFqcGdeQXVyMTI0NTA1MDI3._V1_UX67_CR0,0,67,98_AL_.jpg",Indiana Jones and the Dial of Destiny,(2023),PG-13,142 min,"Action, Adventure",,,,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"Director: James Mangold | Stars: Harrison Ford, Mads Mikkelsen, Phoebe Waller-Bridge, Boyd Holbrook",
37,"https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_UX67_CR0,0,67,98_AL_.jpg",The Batman,(2022),PG-13,176 min,"Action, Crime, Drama",,7.8,72 Metascore,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","Director: Matt Reeves | Stars: Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell","Votes: 698,173 | Gross: $369.35M"
38,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Avengers: Endgame,(2019),PG-13,181 min,"Action, Adventure, Drama",,8.4,78 Metascore,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Votes: 1,177,098 | Gross: $858.37M"
39,"https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_UX67_CR0,0,67,98_AL_.jpg",John Wick,(2014),R,101 min,"Action, Crime, Thriller",,7.4,68 Metascore,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,"Directors: Chad Stahelski, David Leitch | Stars: Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Votes: 690,995 | Gross: $43.04M"
